log_timestamp	task	mode	alpha	rounds	wandb_run	wandb_start	status
20260402_120434	sst2	fedavg	0.5	20	run-20260402_120438-kdsq264y	20260402_120438	LAST_WRITER
20260402_132128	mnli	fedavg	0.5	20	run-20260402_173446-lbafzxtn	20260402_173446	LAST_WRITER
20260402_132128	qnli	fedavg	0.5	20	run-20260402_142700-sx8ng0hl	20260402_142700	LAST_WRITER
20260402_132128	qqp	fedavg	0.5	20	run-20260403_025848-atbm29vr	20260403_025848	LAST_WRITER
20260402_132128	sst2	fedavg	0.5	20	run-20260402_132133-pta2ldjk	20260402_132133	LAST_WRITER
20260405_071932	mnli	fedsa	0.5	20	run-20260405_113450-dvf2ozyq	20260405_113450	LAST_WRITER
20260405_071932	qnli	fedsa	0.5	20	run-20260405_082513-9jhavyra	20260405_082513	LAST_WRITER
20260405_071932	qqp	fedsa	0.5	20	run-20260405_205852-4j4zq0m4	20260405_205852	LAST_WRITER
20260405_071932	sst2	fedsa	0.5	20	run-20260405_071936-o2rynwsk	20260405_071936	LAST_WRITER
20260406_203614	qnli	fedalc	0.5	30	run-20260406_221632-twnbveup	20260406_221632	LAST_WRITER
20260406_203614	sst2	fedalc	0.5	30	run-20260406_203619-8p01kqqi	20260406_203619	LAST_WRITER
20260408_114021	qnli	fedalc	0.3	30	run-20260408_132544-zayyq21z	20260408_132544	LAST_WRITER
20260408_114021	sst2	fedalc	0.3	30	run-20260408_114025-hrgqsp52	20260408_114025	LAST_WRITER
20260412_235402	qnli	fedavg	0.3	30	run-20260413_013601-b75h1n9b	20260413_013601	LAST_WRITER
20260412_235402	qnli	fedsa	0.3	30	run-20260413_082210-hsa6193s	20260413_082210	LAST_WRITER
20260412_235402	sst2	fedavg	0.3	30	run-20260412_235407-i2d7uspx	20260412_235407	LAST_WRITER
20260412_235402	sst2	fedsa	0.3	30	run-20260413_063800-ora0zbr3	20260413_063800	LAST_WRITER
20260415_015657	qnli	fedalc-lwc	0.5	20	run-20260415_030502-8djf8hk0	20260415_030502	overwritten
20260415_015657	qnli	fedalc-lwc	0.5	20	run-20260415_062438-mz7d0dv6	20260415_062438	LAST_WRITER
20260415_015657	sst2	fedalc-lwc	0.5	20	run-20260415_015702-7yniam60	20260415_015702	overwritten
20260415_015657	sst2	fedalc-lwc	0.5	20	run-20260415_062147-plom24u4	20260415_062147	LAST_WRITER
20260415_063849	qnli	fedalc-lwc	0.5	20	run-20260415_074446-2q902zwq	20260415_074446	LAST_WRITER
20260415_063849	sst2	fedalc-lwc	0.5	20	run-20260415_063854-be23jxgj	20260415_063854	LAST_WRITER
20260416_064902	qnli	ffa	0.5	30	run-20260416_082547-bhv4wt60	20260416_082547	overwritten
20260416_064902	qnli	ffa	0.3	30	run-20260416_144125-l837ic89	20260416_144125	LAST_WRITER
20260416_064902	sst2	ffa	0.5	30	run-20260416_064907-3sng404d	20260416_064907	overwritten
20260416_064902	sst2	ffa	0.3	30	run-20260416_125932-ul9tgiqa	20260416_125932	LAST_WRITER
